"","income"
"1",18399.7906462291
"2",73757.5493564597
"3",175931.792739792
"4",21213.5332593198
"5",9127.30022108421
"6",75720.2338589593
"7",44895.0145943717
"8",102673.340852256
"9",289802.563021315
"10",12254.3268852174
"11",22784.8201056109
"12",42033.874058258
"13",26897.7703276958
"14",49750.1209443111
"15",21352.6846492224
"16",16399.3362479453
"17",32533.7466686921
"18",153356.00491757
"19",50984.301716439
"20",129233.96693237
"21",153546.217330318
"22",79987.9423012114
"23",16286.3161013491
"24",17687.163469161
"25",12442.9174850092
"26",40100.2073673044
"27",38734.1656594995
"28",361242.523460728
"29",15636.3041704534
"30",290661.227359809
"31",38357.2363816451
"32",6929.28293701706
"33",21747.684876876
"34",2722.33547025043
"35",3196.58347328286
"36",43234.8802336853
"37",58997.3208839733
"38",58884.5579793378
"39",33163.832569726
"40",33538.3568745421
"41",106878.497314342
"42",17642.6931125196
"43",118313.633926821
"44",45318.7471155672
"45",187625.542812996
"46",49216.2488795651
"47",90850.1758218732
"48",8035.95745347341
"49",100042.630316812
"50",64735.3460460464
"51",30500.640274364
"52",51565.0282257748
"53",187272.987827969
"54",506306.146487207
"55",200869.387451944
"56",31159.6653557196
"57",21166.6443143067
"58",19872.3296527512
"59",16874.2442386174
"60",12311.358306526
"61",65580.4855388685
"62",16364.5965898178
"63",139716.149888622
"64",815192.098633653
"65",815477.486416377
"66",161281.639898155
"67",154866.145279351
"68",13880.1616089309
"69",186675.221860506
"70",116699.661817832
"71",116883.284053121
"72",80482.477768328
"73",12844.671109209
"74",125543.065479206
"75",3466.86372226738
"76",176659.03379116
"77",7140.86543478041
"78",76126.8361194573
"79",36552.2375784738
"80",27271.2608783059
"81",199486.64856568
"82",115667.983612353
"83",16564.2326099572
"84",9949.6946806408
"85",40742.2894100159
"86",6072.29994313587
"87",507351.918983932
"88",97702.9278612675
"89",26458.114535554
"90",61503.3108867555
"91",78208.3072160721
"92",26950.6729189319
"93",16555.9437140655
"94",33611.1057678677
"95",25347.0349653182
"96",106198.632247098
"97",18135.5672671405
"98",64974.3611889963
"99",41114.1364394968
"100",39440.9636440199
"101",187197.46179641
"102",79009.045149621
"103",54038.1406882079
"104",176918.045968795
"105",131250.849516023
"106",35341.0793700096
"107",19979.2400587953
"108",45680.0842097871
"109",37585.2668428109
"110",24944.0414655108
"111",14759.7455461341
"112",43892.6392719326
"113",95220.5523412746
"114",23545.7165913889
"115",39507.682229417
"116",32821.9793372991
"117",42270.7823745946
"118",10045.6794980811
"119",56994.316581424
"120",16981.8422624606
"121",12771.0278675847
"122",816872.233789562
"123",102652.696817618
"124",140818.63728288
"125",23474.8675944006
"126",5980.44891181147
"127",72998.0853769262
"128",92864.3763265813
"129",16809.2031661705
"130",26534.9438249747
"131",31172.8045523332
"132",15645.782801929
"133",3036.004506703
"134",131308.551808624
"135",32532.8685905137
"136",-40.1563238403586
"137",9737.34835263528
"138",35328.8139298015
"139",31111.3664030841
"140",59072.9426365759
"141",33196.8690606216
"142",21555.3574507177
"143",34014.0009159537
"144",161301.492683493
"145",66407.457400952
"146",83199.4973078282
"147",44109.6903122843
"148",67938.4167987143
"149",68836.513089747
"150",74688.5644311197
"151",38204.0497548308
"152",62076.7631329006
"153",126256.586208694
"154",7794.99057431513
"155",47642.0783141422
"156",76651.4080632494
"157",54379.1350915201
"158",25293.2866557844
"159",23329.9569172638
"160",105279.126402146
"161",74640.5393063172
"162",28661.3612736217
"163",5855.24453096681
"164",166995.807999332
"165",125565.125037565
"166",67602.395875818
"167",41171.977451933
"168",15466.9490346372
"169",88750.0284669363
"170",815677.342606296
"171",19449.8042270845
"172",188009.098033966
"173",2071260.18923482
"174",7043.41624521234
"175",26383.1280785782
"176",140188.763240151
"177",40213.2463563476
"178",360377.274915948
"179",22376.5900449135
"180",9483.33139652097
"181",117819.684104932
"182",82047.2639946098
"183",14188.3312858637
"184",40395.0645249169
"185",77591.7661091508
"186",9391.64596683757
"187",106703.176315149
"188",18476.287243362
"189",126115.980883704
"190",15370.9800672826
"191",68256.6364855019
"192",90609.2319927865
"193",28854.4615665101
"194",201194.188035074
"195",24584.9859911634
"196",29703.0524207416
"197",35597.6036583102
"198",63173.2610578699
"199",40806.0748576126
"200",71389.5839126726
"201",1650.35511544208
"202",11718.0738502907
"203",148498.344989134
"204",77614.176818229
"205",88762.0647207169
"206",46718.27242086
"207",54893.9085919119
"208",15145.5452051449
"209",40808.7082667916
"210",21852.9111516401
"211",105927.044243867
"212",89752.8821869583
"213",35287.5268655567
"214",42619.6258175338
"215",2415.13581431222
"216",26204.1404426754
"217",17813.4976723306
"218",9869.95114905618
"219",163127.40742459
"220",2786.73472367494
"221",13238.6479537969
"222",36458.5380560285
"223",235330.179278524
"224",18278.4241713563
"225",2069671.50157473
"226",100558.545289733
"227",51995.811378452
"228",102613.536671366
"229",9813.28641188846
"230",13371.744410421
"231",97082.7481650588
"232",8281.59516581448
"233",10033.0655688653
"234",199578.590190779
"235",73047.8857116292
"236",13741.092333483
"237",49129.9476680173
"238",4437.09321045009
"239",35814.7273621449
"240",126968.208071808
"241",149008.980853252
"242",17902.5851287643
"243",103501.315467253
"244",2071311.58742046
"245",8888.53544764741
"246",45328.5345459821
"247",6844.76841017119
"248",13988.4716616715
"249",136206.911206088
"250",21637.1589068341
"251",65691.5215312231
"252",10139.1054392153
"253",25390.9673509672
"254",14695.8976570042
"255",159690.937163584
"256",8189.60115349474
"257",9216.44384387046
"258",236954.095888442
"259",8750.0778099644
"260",67977.9232605057
"261",176811.76214085
"262",34712.7531312884
"263",4085.40579876747
"264",19731.0813466577
"265",10073.4442721776
"266",11150.0994558555
"267",39157.5671470525
"268",23511.776961239
"269",92367.6073432348
"270",52065.1796859192
"271",73209.1767195103
"272",26515.3072744849
"273",60245.451760348
"274",17503.0094813443
"275",12501.5640954541
"276",11652.7684056223
"277",84800.1662044491
"278",32546.647540415
"279",62483.1693234019
"280",71758.4019599449
"281",19196.3259926831
"282",18582.9527121135
"283",42628.8962668413
"284",25640.0580167685
"285",814939.027684198
"286",16576.5803088479
"287",117385.093302722
"288",118388.527872087
"289",31706.3129486006
"290",178796.963573363
"291",26930.1171650964
"292",72542.6746546672
"293",48947.7275783861
"294",67110.2548718944
"295",34049.3631872896
"296",38463.5027952953
"297",8573.0230826258
"298",4724.00811856297
"299",29347.7057023129
"300",167557.290565443
"301",117427.954183795
"302",15075.7184131759
"303",94370.812745053
"304",17476.3068929124
"305",24684.8155776521
"306",507550.930558177
"307",96863.8091979254
"308",4776.8079613315
"309",21824.4541328145
"310",131475.793481514
"311",162809.484230266
"312",15988.3390856204
"313",29728.1677293364
"314",72694.8915362384
"315",154949.643756311
"316",42981.8507831918
"317",27347.4571309761
"318",4780.73248576551
"319",54110.6805787835
"320",7633.22178507601
"321",-361.402933219576
"322",94459.8598664457
"323",817056.065651075
"324",19316.2169531707
"325",47904.6302829837
"326",6430.60071565068
"327",234077.0321099
"328",37062.2126637569
"329",24635.5514819808
"330",89087.5398416211
"331",19251.7583955309
"332",4584.59873097232
"333",40433.0408246645
"334",506049.401989951
"335",41161.8211343015
"336",10870.389864936
"337",41443.2815306397
"338",42808.3981578023
"339",23837.7856986128
"340",26994.9523972598
"341",8823.1222541778
"342",19198.174096748
"343",50066.500540478
"344",31462.509602442
"345",9799.9444356491
"346",12542.9225357049
"347",5270.90035234752
"348",39742.2569395472
"349",41738.3935387144
"350",149477.702947286
"351",66559.0971603174
"352",23687.5081769138
"353",234842.336049221
"354",42266.3325901179
"355",11900.2318268237
"356",38671.7428512047
"357",107614.406874315
"358",7854.25459017365
"359",22128.4024153028
"360",12173.1020761242
"361",816229.338830095
"362",73129.9006069076
"363",21194.585055155
"364",26088.2872886945
"365",96070.1593485045
"366",168328.115938153
"367",124411.226900741
"368",236355.650528637
"369",8943.41782308857
"370",57663.115206809
"371",33723.9622784092
"372",18790.3283306528
"373",35533.2685050048
"374",92357.7953541933
"375",29247.29661339
"376",44228.943486064
"377",91996.0532273272
"378",30336.2694511721
"379",9984.36193401319
"380",130844.591692936
"381",89479.3599211611
"382",21461.0062811232
"383",64463.6330913266
"384",26425.8323265412
"385",26112.2775111954
"386",39127.7891085237
"387",71049.2780011348
"388",178250.783021425
"389",35745.1071319991
"390",154070.476009961
"391",167239.536152656
"392",126314.192540626
"393",101383.133171664
"394",106237.852613876
"395",45734.0214251107
"396",290602.282343449
"397",20966.7379722681
"398",148581.362644958
"399",94990.1504799538
"400",14034.2938688072
"401",37004.8231937344
"402",16726.2090358315
"403",30262.3552974628
"404",-1014.00380965484
"405",125186.118324111
"406",16609.3886350032
"407",19837.986799232
"408",12481.6059321763
"409",61852.4770862045
"410",35588.2471906035
"411",69401.4643542406
"412",67902.2030965846
"413",84339.5423127277
"414",7705.22084966231
"415",116950.149132588
"416",64746.4753364814
"417",29937.3293473651
"418",96278.5864626432
"419",91968.50786018
"420",74542.345795985
"421",154565.664038642
"422",35952.5290570474
"423",86569.7395701219
"424",19054.3651231823
"425",75981.9535566455
"426",21186.5742625686
"427",27549.3432247415
"428",70096.6667400899
"429",101217.918813322
"430",16567.8073699342
"431",25911.5712806878
"432",64480.9930880174
"433",38257.3681569186
"434",79446.9226417358
"435",187328.745883592
"436",117360.708692321
"437",72729.4244970476
"438",67238.9411735224
"439",84578.3111779095
"440",17847.0078339069
"441",54542.5362872448
"442",76564.375624789
"443",41752.6938951306
"444",22337.160084206
"445",506534.411160086
"446",7784.15235534819
"447",28083.0300481335
"448",-612.819434224324
"449",6546.67786902073
"450",5758.63569542868
"451",38996.6853761802
"452",236052.533575198
"453",7770.9475254563
"454",36048.6484270292
"455",24218.8039101873
"456",37866.45787829
"457",16440.9734947058
"458",25927.7965385419
"459",-1174.53460105014
"460",9188.76433584114
"461",28497.983266616
"462",5406.59610806219
"463",125724.771185089
"464",85513.0554955325
"465",20968.3509301604
"466",816217.452107288
"467",20997.1610885084
"468",57799.4851865697
"469",25454.6799521602
"470",292193.848626022
"471",506618.164984539
"472",816707.780787579
"473",177630.651627676
"474",91952.5358413341
"475",17979.4142736108
"476",77168.9310397967
"477",30750.8159641012
"478",35435.0513359801
"479",146495.115776584
"480",88645.6862912301
"481",62775.8567422819
"482",849.459937686757
"483",37112.2237446072
"484",155699.577117939
"485",38862.4720504373
"486",37809.8794437316
"487",186946.479276917
"488",51892.8477681036
"489",8161.48560984294
"490",48705.6973337184
"491",17611.602108067
"492",36606.2330037771
"493",73056.224165068
"494",141056.637665266
"495",34890.1314028894
"496",33179.238178232
"497",11730.6003796407
"498",290811.464484189
"499",68436.8180138175
"500",30223.407138578
"501",35027.3547429801
"502",16767.6856388258
"503",33461.7958847392
"504",61984.2899008501
"505",53600.6954289549
"506",-1072.17899595885
"507",28296.2015985595
"508",65333.9850090626
"509",4466.6151011883
"510",153965.647449945
"511",7645.21894200923
"512",9496.86258392046
"513",24130.4244211848
"514",15962.2515553794
"515",16846.8080915506
"516",17919.8583194436
"517",95060.9313642635
"518",7851.65691174215
"519",42940.278614795
"520",8907.8489143749
"521",7223.00231533363
"522",46892.1694028587
"523",46730.3446262775
"524",87991.6238781321
"525",126615.443939556
"526",31224.3204186912
"527",22035.0548050369
"528",20288.8239440366
"529",47769.1184771239
"530",87652.146037668
"531",815773.004734565
"532",167543.998275171
"533",97460.4468000981
"534",64688.6744827531
"535",22533.9897587313
"536",68728.9178154306
"537",5881.79454657192
"538",70292.4984158564
"539",16925.2269917025
"540",27972.4780775717
"541",29908.7158084747
"542",8570.49467902522
"543",15152.750224466
"544",153383.179446635
"545",17236.9766604255
"546",64009.6618043844
"547",188814.415707183
"548",177641.661764722
"549",360793.471451046
"550",117193.573066334
"551",42596.1766455857
"552",32274.2398740377
"553",7944.69257195584
"554",10813.4921865648
"555",49358.1296444798
"556",59914.8562940614
"557",63414.0968540924
"558",52060.7189116502
"559",38543.2018087013
"560",236174.341682596
"561",49362.0416419818
"562",136970.164133826
"563",16952.5089684837
"564",36568.3744395171
"565",14137.3138165262
"566",505593.838440054
"567",123894.955684116
"568",39346.2740658289
"569",26209.1665376628
"570",106680.536228203
"571",17673.2282357438
"572",88511.3117782681
"573",176482.560475528
"574",154720.418432967
"575",43567.8369040403
"576",68690.3202412067
"577",360625.369133648
"578",18280.3520051169
"579",21126.1093116086
"580",29975.6906352125
"581",33990.6814594575
"582",48154.1964437786
"583",89593.7909153816
"584",17900.2729591544
"585",74294.9403197813
"586",359228.805101605
"587",46911.0081600097
"588",20929.109547819
"589",45386.222055892
"590",77527.6466134471
"591",19381.8165580719
"592",58251.466925053
"593",124581.953376978
"594",76426.0971332421
"595",125540.922136415
"596",76158.951860279
"597",52269.982914408
"598",39891.5800874945
"599",60951.5161443761
"600",29923.2213916792
"601",155760.923280214
"602",20867.8544234119
"603",53184.3924033307
"604",186886.053362413
"605",506574.894800638
"606",40500.0260952296
"607",49000.4379490753
"608",68512.8457413048
"609",6421.40355520441
"610",74530.9570274672
"611",18313.7723285342
"612",30828.4499755263
"613",154983.76870863
"614",289922.334667371
"615",27993.6847980252
"616",57668.787288106
"617",35445.1210925719
"618",235206.005955277
"619",77312.4189697506
"620",155585.259084029
"621",15823.5421045112
"622",10792.9681678744
"623",161134.355240345
"624",28805.6832471486
"625",94239.0811656177
"626",32393.9525129212
"627",13494.4230394483
"628",176988.422048197
"629",46518.5027211133
"630",137090.133655411
"631",236069.300694653
"632",87161.9095835088
"633",155661.549712492
"634",15878.1645824097
"635",27019.1546133688
"636",19536.3476872088
"637",9185.21515474681
"638",85183.7769729953
"639",66518.2517565146
"640",8150.58594717172
"641",28845.331940453
"642",91137.0753532609
"643",177138.387369934
"644",35305.2376550669
"645",63330.6133617226
"646",141286.079073927
"647",91930.0930409822
"648",24768.459683761
"649",14932.8892129364
"650",987.074990642218
"651",11616.4253283433
"652",43004.0132285108
"653",86194.5378931471
"654",290550.232170818
"655",34915.5411119407
"656",10717.3600296594
"657",9846.78715219439
"658",162687.437087926
"659",19945.1085631393
"660",64322.2741589526
"661",10081.9908761164
"662",42863.6236108901
"663",32553.259532531
"664",19329.6311141809
"665",38591.6906760775
"666",21113.2473922877
"667",16292.8098218823
"668",38402.8345871604
"669",73773.9673803564
"670",154605.156192552
"671",15335.2230169029
"672",21596.5863976154
"673",8118.89013791117
"674",14183.8713054194
"675",46105.549652021
"676",72803.9957196098
"677",72927.0005575264
"678",17024.1650246515
"679",60824.2315662158
